 	New York	Alaska	Georgia	Maryland	Louisiana	Montana	North Dakota	Idaho	Massachusetts	Nevada	West Virginia	Wyoming	South Carolina	Ohio	Colorado	Iowa	Pennsylvania	Connecticut	Hawaii	Texas	Indiana	Mississippi	Missouri	Michigan	Nebraska	Arkansas	Kentucky	Wisconsin	New Hampshire	Alabama	Vermont	Tennessee	Oklahoma	Washington	Arizona	Maine	Rhode Island	North Carolina	Virginia	California	Minnesota	Oregon	Utah	New Mexico	South Dakota	Illinois	Florida	Kansas	New Jersey	Delaware
Minnesota	1463.71	3257.01	1303.75	1365.09	1595.89	861.48	449.50	1569.08	1721.02	1929.45	1242.49	1038.36	1539.57	953.09	877.50	244.84	1311.87	1590.90	2615.33	1670.40	771.19	1469.74	443.40	847.49	435.99	1117.58	934.22	276.63	1759.72	1316.74	2766.36	391.87	816.45	2106.41	2502.10	1821.20	1673.50	1680.29	1551.51	2032.20		2040.43	1502.00	1263.75	242.10	532.72	1517.83	503.80	1502.20	1522.88
Oregon	3489.07	2486.08	3202.95	3390.46	2853.15	1181.40	1595.74	475.24	3746.39	530.73	3267.86	1632.90	3564.93	2978.46	1335.25	2216.28	3337.24	3616.26	2066.14	2551.20	2796.55	2814.03	2247.51	2872.86	2032.59	2659.32	2959.59	2302.00	3785.09	3058.09	934.22	798.99	2199.25	159.29	1554.31	3846.57	3698.86	3705.65	3576.87	532.94	2031.43		810.15	1724.34	2006.75	2558.09	3243.91	1879.45	3527.57	3548.24
Utah	2950.17	2986.79	2394.08	2991.72	2044.28	642.50	1056.84	338.85	3207.48	546.82	2580.78	438.42	2615.33	2685.51	526.38	1192.54	2969.39	3077.36	1666.82	1742.33	2556.14	2005.16	1134.13	2333.96	1008.84	1850.46	2449.97	1763.10	3246.19	2249.22	2959.59	1025.59	1390.38	876.18	745.44	3307.66	3159.96	3018.58	2889.80	649.57	1492.53	810.20		915.47	1467.85	1435.14	2435.05	1070.58	2988.67	3059.08
New Mexico	2792.22	3902.86	1844.89	2442.53	1495.10	947.81	1350.58	1254.92	3049.53	1387.87	2031.59	496.14	2066.14	2136.32	392.97	1015.09	2420.21	2919.41	1012.10	1193.14	2006.96	1455.98	772.01	2274.78	830.71	1301.27	1900.78	2082.27	3088.23	1700.04	2449.97	1099.76	675.68	1792.25	516.42	3149.71	3002.00	2469.39	2340.61	1519.71	1268.30	1726.26	917.24		1027.16	1747.87	1885.86	839.65	2538.76	2509.90
South Dakota	1590.96	3241.11	1431.00	1492.35	1180.15	714.62	403.43	1422.23	1848.28	1782.60	1369.74	593.34	1666.82	1080.34	636.20	281.08	1439.13	1718.15	1605.38	1155.15	898.44	1141.03	365.09	974.75	229.34	781.04	1061.47	413.04	1886.98	1443.99	1900.78	349.24	641.38	1959.56	1870.93	1948.45	1800.75	1807.54	1678.76	1885.35	241.54	1893.57	1072.17	1031.15		659.98	1645.08	347.58	1629.46	1650.13
Illinois	1070.61	3862.78	776.28	972.00	1068.42	1308.08	1055.28	2015.69	1327.93	2730.22	715.02	901.02	1012.10	559.99	914.39	325.43	918.78	1197.80	1712.42	1142.94	267.43	942.27	310.62	454.40	433.35	590.11	406.75	336.44	1366.63	789.27	1061.47	284.52	683.67	2553.02	1974.63	1428.10	1280.40	1152.82	1024.04	2737.71	606.71	2487.03	1434.19	1872.50	605.20		990.36	367.58	1109.11	1129.78
Florida	1249.48	5401.50	271.23	907.78	590.56	2446.45	2039.88	2753.56	1350.67	2720.53	905.99	1994.78	365.16	1010.71	1891.61	1315.18	985.02	1220.55	1564.41	1133.26	881.35	431.30	1188.29	1149.17	1423.10	721.22	775.17	1321.04	1389.38	200.24	406.75	3081.07	1174.69	3290.89	1964.95	1450.85	1303.15	611.18	760.27	2728.03	1591.31	3224.90	2415.88	1862.82	1594.95	990.74		1245.11	1042.73	975.15
Kansas	1438.67	3655.26	1144.57	1340.06	869.89	1016.78	743.70	1399.61	1695.98	1532.56	1083.32	609.72	1380.40	928.05	539.72	261.01	1286.84	1565.86	1448.76	814.31	635.73	830.77	62.52	822.46	165.20	470.77	775.05	704.50	1734.69	1157.57	1301.27	315.80	294.21	1936.95	1523.76	1796.16	1648.46	1521.12	1392.33	1664.40	520.89	1870.96	1061.94	841.69	347.51	368.60	1358.65		1477.17	1497.84
New Jersey	225.90	4634.45	891.85	137.95	1716.67	2238.93	1826.95	2946.53	327.09	3378.46	506.94	1980.79	686.82	535.09	1994.15	1232.38	143.82	196.97	1334.22	1791.18	868.30	1363.87	1390.39	769.62	1513.12	1238.36	979.82	1108.11	365.79	1210.87	781.04	1846.37	1832.62	3483.86	2622.88	427.27	279.57	492.75	286.63	3385.96	1378.38	3417.87	2513.95	2520.75	1507.36	1084.04	1041.20	1447.35		69.64
Delaware	277.19	4654.46	823.57	69.67	1689.30	2258.94	1846.96	2966.54	378.39	3351.10	478.43	2000.80	618.53	510.48	2522.17	1252.39	99.20	248.26	1735.64	1763.82	888.30	1336.50	1410.40	789.63	1533.12	1210.99	727.69	1128.12	417.09	1183.50	590.11	677.55	1805.25	3503.87	2595.51	478.56	330.86	424.46	218.35	3358.59	1398.39	3437.88	3046.44	2493.38	1527.36	1104.05	972.92	1467.36	70.44	
