 ,New York,Alaska,Georgia,Maryland,Louisiana
New York,,4596.65,1498.22,346.17,2017.01
Alaska,4706.62,,4546.65,4608,4863.3
Georgia,1453.81,5363.31,,775.28,552.38
Maryland,344.92,4542.12,750.95,,1585.65
Louisiana,1979.42,5025.53,555.13,1629.74
